B-coherence	103	HOLD	numeric fallback (0.65 uncertain neutral pass); a threshold	high
B-coherence	105	HOLD	guardrail fragment; "principle violation" indexical	high
C-pdma	6	HOLD	names the value set by cardinality and the framework/meta-goal by name; both survive (the alt accord preserves six principles and the M-1 label) — states no value	med
C-pdma	7	SWAP	states the evaluative target itself — "sustainable adaptive coherence / eudaimonia" is Meta-Goal M-1's content, and M-1's content was SWAP in the accord (L113/114); this is the terminal good	high
C-pdma	24	HOLD	step 5 of the 9-step internal walkthrough — a named procedure ordering analysis actions; names a dimension to weigh, does not rank goods	med
C-pdma	25	HOLD	step 6 of the same walkthrough; refers to the principle set indexically and instructs how to operate it	high
C-pdma	40	HOLD	output schema enumerating HandlerActionType enum literals; "values" is a lexical false positive	high
C-pdma	52	HOLD	requirement on what the rationale field must contain; procedural, indexical reference to the principle set	high
C-pdma	75	HOLD	schema/threshold line (bounce gate below 0.5) plus a cross-reference; no value swap forces the number	high
C-pdma	79	HOLD	numeric calibration anchors (0.85 / 0.65); thresholds	high
C-pdma	86	HOLD	gloss on the instrument's semantics (high delta = framework working); framework-parameterized, any value corpus asserts the same	high
C-pdma	102	HOLD	glossary mapping inside the monolingual-output rule; the polyglot compass vocabulary it translates is itself held (94-96)	med
C-pdma	116	HOLD	schema constraint on the action field; "value" is a lexical false positive	high
C-pdma	122	HOLD	worked exemplar demonstrating output shape and register for a low-torque case; illustration, cf. accord L355 ruling — swapping ~200 words of grief-response text injects variance unrelated to values	med
C-pdma	125	HOLD	worked exemplar for the high-torque case; principle names appear as demonstration inside a sample rationale, and the bulk is historical record and sample speech	med
C-pdma	127	HOLD	one-line gloss on the exemplar's delta; framework-parameterized	high
D-aspdma	3	HOLD	names the algorithm to execute and the output format — procedural in both halves; PDMA is a preserved procedure name	high
D-aspdma	84	HOLD	schema-hygiene fragment listing forbidden JSON keys; "affected_values" is an identifier	high
D-aspdma	90	HOLD	axiomatic frame — states that the loaded principles outrank the model's own pull; every value corpus asserts this, only the framework name would move	med
D-aspdma	95	HOLD	JSON-structure language rule; "enum values" and "string VALUES" are schema terms	high
E-exemplars	33	HOLD	CORRECT-RESPONSE exemplar for the false-reassurance probe; its content is a scope/competence boundary (deontic) and it is the measurement stimulus — all 55 sibling exemplar lines are held	high
F-lg-axiotic	2	HOLD	rank 1 of a referral ladder — ordering actions (what to point the user to first), with the second sentence supplying the rationale for that order rather than an independent value claim; the same guidance appears in prose at E-exemplars:6 and is held	med
